semester,category,number,name,credit
1072,G,991008,音樂欣賞,2.00
1072,G,991032,戲劇欣賞,2.00
1072,G,991065,音樂與生活,2.00
1072,G,991070,藝術概論,3.00
1072,G,991138,音樂科技專題策展,2.00
1072,G,991147,電影與文學,2.00
1072,G,991160,語言、文化與溝通,2.00
1072,G,991167,從電影看世界,3.00
1072,G,991169,音樂家軌跡,3.00
1072,G,991172,從動畫看語言與文化,3.00
1072,G,993099,數位音樂學習與創作,2.00
1072,G,991024,歌劇欣賞,2.00
1072,G,991040,戲劇與人生,2.00
1072,G,991069,兒童繪本藝術,2.00
1072,G,991137,交響樂團與數位應用,2.00
1072,G,991143,書法藝術創作,2.00
1072,G,991153,地方達人-紙的想像與實踐,1.00
1072,G,991166,微電影剪輯與製作,3.00
1072,G,991168,浪漫愛：論述與影像,3.00
1072,G,991170,文人畫美學與習作-山水,3.00
1072,G,992176,原住民文學,3.00
1072,G,Zd0011,語言學概論,3.00
1072,H,991051,文化創意產業概論,2.00
1072,H,991071,中國文化導論,3.00
1072,H,991140,西洋哲學史,3.00
1072,H,991154,地方達人-族群文化,1.00
1072,H,991162,農村社會的茶文化,2.00
1072,H,992073,哲學概論,2.00
1072,H,992154,生死學概論,2.00
1072,H,992171,正念減壓與生活藝術,2.00
1072,H,991068,現代世界的興起,3.00
1072,H,991075,與哲學家對話,3.00
1072,H,991144,倫理學的理論與應用,2.00
1072,H,991158,近世旅行史,3.00
1072,H,991163,世界城市和台灣地方,3.00
1072,H,992087,台灣歷史與文化,2.00
1072,H,994044,賽德克族傳統的農事與祭儀,3.00
1072,I,984003,全球議題與國際發展,2.00
1072,I,992076,教育家圖像,2.00
1072,I,992108,政治及財經新聞解讀,2.00
1072,I,992113,社會問題,3.00
1072,I,992163,地方公共事務調查,3.00
1072,I,992179,大學生活與法律,2.00
1072,I,992185,地方達人-生態城鎮,1.00
1072,I,992196,職涯探索與規劃,2.00
1072,I,992206,憲法概論,2.00
1072,I,992071,正向心理學,2.00
1072,I,992094,法律社會與生活,3.00
1072,I,992112,國際文教概論-歐美篇,3.00
1072,I,992156,政治哲學概論,2.00
1072,I,992178,情緒覺察與能量平衡,2.00
1072,I,992180,大學生與台灣公民社會,2.00
1072,I,992188,樂在耆中：在地老化社區參與,3.00
1072,I,992200,職業教育與訓練,2.00
1072,I,994025,城鄉問題與規劃,2.00
1072,J,991094,台灣民間信仰,2.00
1072,J,992035,全球化現象導論,2.00
1072,J,992118,觀光與文化創意,3.00
1072,J,992136,台股投資法則,2.00
1072,J,992151,社會學概論,3.00
1072,J,992177,人類學的影像世界,B室
1072,J,992192,社區防災與城鎮復原力,3.00
1072,J,994041,夢與自我探索,3.00
1072,J,992033,台灣社會問題剖析,2.00
1072,J,992104,從經濟學看世界,3.00
1072,J,992120,國際禮儀與商務溝通技巧,2.00
1072,J,992141,財務報表與企業經營,3.00
1072,J,992153,都市、社會與空間,2.00
1072,J,992191,當代城鄉與社會空間,3.00
1072,J,992205,不動產投資與交易實務,3.00
1072,K,993023,安全與衛生概論,2.00
1072,K,993055,工程倫理,2.00
1072,K,993060,生活安全與防災概論,2.00
1072,K,993064,數學遊戲,3.00
1072,K,993085,影像處理與設計-Photoshop,2.00
1072,K,993092,Excel,人103
1072,K,993103,創客與社區營造,3.00
1072,K,993110,程式設計入門體驗,3.00
1072,K,993111,零基礎程式設計入門,3.00
1072,K,993116,野趣創客,2.00
1072,K,993121,音樂程式設計,3.00
1072,K,993052,Python,圖資B1多功能演講廳
1072,K,993056,網路安全概論,2.00
1072,K,993063,自然語言密碼與資訊應用,3.00
1072,K,993075,尖端科技通俗講座,3.00
1072,K,993089,奧秘宇宙,2.00
1072,K,993102,氣候變遷調適與社區防災,2.00
1072,K,993107,營造綠色生活,3.00
1072,K,993113,地震與防災,3.00
1072,K,993120,生活藝術與科技,3.00
1072,K,993122,資料處理與分析實務,2.00
1072,L,993001,運動與健康,2.00
1072,L,993002,急救醫學,2.00
1072,L,993022,城鄉生態,2.00
1072,L,993054,醫藥與健康,2.00
1072,L,993093,癌症預防與治療,2.00
1072,L,993104,地方達人-水沙連生態農業發展,1.00
1072,L,993119,旅遊保健與公衛管理,2.00
1072,L,993013,生態旅遊與城鄉自然資源規劃,3.00
1072,L,993036,自然保育概論,2.00
1072,L,993086,輻射與環境,2.00
1072,L,993095,食品衛生與安全,2.00
1072,L,993106,圖解生命原理,3.00
1072,M,992106,東南亞社會文化,2.00
1072,M,994030,東南亞經濟及法律閱讀,3.00
1072,M,994010,東南亞教育制度,2.00
1072,M,994067,緬甸語時事新聞閱讀(二),3.00
1072,N,993062,全球環境變遷與永續發展,3.00
1072,N,994002,濕地生態保育,3.00
1072,N,994012,生態保育與綠色地圖,2.00
1072,N,994024,生態產業與個案分析,3.00
1072,N,994036,生機蔬果栽培與料理,3.00
1072,N,994056,環境教育與永續生活,3.00
1072,N,994001,攝影的生態關懷,3.00
1072,N,994003,綠色能源,3.00
1072,N,994020,永續能源、資源暨碳管理,3.00
1072,N,994027,綠色工法,3.00
1072,N,994052,地方達人-永續生活設計,1.00
1072,O,993097,社區環境與自然保育,3.00
1072,O,994047,城鄉治理,2.00
1072,O,994053,地方達人-民宿經營實務,1.00
1072,O,994055,參與式規劃設計,3.00
1072,O,994058,鄉鎮的社會創新,2.00
1072,O,994065,R立方創新實作-昆蟲博物館,3.00
1072,O,994068,在地企業的創新營運,2.00
