semester,category,number,name,credit
1061,G,460024,設計基礎,3.00
1061,G,991008,音樂欣賞,2.00
1061,G,991030,藝術欣賞,2.00
1061,G,991038,雕塑藝術欣賞,2.00
1061,G,991065,音樂與生活,2.00
1061,G,991120,英文小說入門,2.00
1061,G,991136,翻譯實務專題：字幕翻譯與製作,2.00
1061,G,991138,音樂科技專題策展,2.00
1061,G,991153,地方達人-紙的想像與實踐,1.00
1061,G,991160,語言、文化與溝通,2.00
1061,G,Zd0002,華語文教學導論,2.00
1061,G,460035,文化與創意設計,3.00
1061,G,991024,歌劇欣賞,2.00
1061,G,991032,戲劇欣賞,2.00
1061,G,991040,戲劇與人生,2.00
1061,G,991070,藝術概論,3.00
1061,G,991135,環球世界音樂節,2.00
1061,G,991137,交響樂團與數位應用,2.00
1061,G,991151,烹飪文化與飲食文學,2.00
1061,G,991156,數位攝影與商業修圖,3.00
1061,G,991161,世界音樂巡禮,2.00
1061,H,385008,中國文化國際詮釋,3.00
1061,H,991071,中國文化導論,3.00
1061,H,991075,與哲學家對話,3.00
1061,H,991101,佛教概說,2.00
1061,H,991154,地方達人-族群文化,1.00
1061,H,991157,噶哈巫語言文化的創意實踐,3.00
1061,H,991159,台灣與南島文化,3.00
1061,H,992051,生命教育,2.00
1061,H,992087,台灣歷史與文化,2.00
1061,H,991051,文化創意產業概論,2.00
1061,H,991073,傳統世界的形成與發展,3.00
1061,H,991085,文化人類學,3.00
1061,H,991144,倫理學的理論與應用,2.00
1061,H,991155,口述歷史與田野調查,3.00
1061,H,991158,近世旅行史,3.00
1061,H,991162,農村社會的茶文化,2.00
1061,H,992073,哲學概論,2.00
1061,H,992171,正念減壓與生活藝術,2.00
1061,I,984003,全球議題與國際發展,2.00
1061,I,992078,教育時事漫談,2.00
1061,I,992108,政治及財經新聞解讀,2.00
1061,I,992156,政治哲學概論,2.00
1061,I,992178,情緒覺察與能量平衡,2.00
1061,I,992180,大學生與台灣公民社會,2.00
1061,I,992195,職場心理學,3.00
1061,I,992071,正向心理學,2.00
1061,I,992102,國際文教概論-亞太篇,3.00
1061,I,992131,性別教育,2.00
1061,I,992163,地方公共事務調查,3.00
1061,I,992179,大學生活與法律,2.00
1061,I,992188,樂在耆中：在地老化社區參與,3.00
1061,I,992196,職涯探索與規劃,2.00
1061,J,991094,台灣民間信仰,2.00
1061,J,992035,全球化現象導論,2.00
1061,J,992104,從經濟學看世界,3.00
1061,J,992116,證券投資分析,3.00
1061,J,992123,企業財務報表的認識與運用,3.00
1061,J,992129,非營利組織及社區參與,2.00
1061,J,992139,總體經濟焦點,2.00
1061,J,992152,城市與影像,2.00
1061,J,992192,社區防災與城鎮復原力,3.00
1061,J,994041,夢與自我探索,3.00
1061,J,992033,台灣社會問題剖析,2.00
1061,J,992043,企業概論,2.00
1061,J,992105,解讀休閒,3.00
1061,J,992122,國際企業管理,3.00
1061,J,992125,解讀行銷,2.00
1061,J,992135,資訊、經濟與社會生活,2.00
1061,J,992143,性別與社會,2.00
1061,J,992191,當代城鄉與社會空間,3.00
1061,J,992194,訓練發展,3.00
1061,K,993023,安全與衛生概論,2.00
1061,K,993055,工程倫理,2.00
1061,K,993060,生活安全與防災概論,2.00
1061,K,993064,數學遊戲,3.00
1061,K,993075,尖端科技通俗講座,3.00
1061,K,993089,奧秘宇宙,2.00
1061,K,993096,網路創業,3.00
1061,K,993107,營造綠色生活,3.00
1061,K,993110,程式設計入門體驗,208
1061,K,993052,Python,科三208
1061,K,993056,網路安全概論,2.00
1061,K,993063,自然語言密碼與資訊應用,3.00
1061,K,993068,生物與電子訊息之認識,3.00
1061,K,993085,影像處理與設計-Photoshop,2.00
1061,K,993092,Excel,人103
1061,K,993102,氣候變遷調適與社區防災,2.00
1061,K,993109,學習如何與電腦對話,3.00
1061,K,993111,零基礎程式設計入門,3.00
1061,L,993001,運動與健康,2.00
1061,L,993002,急救醫學,2.00
1061,L,993022,城鄉生態,2.00
1061,L,993054,醫藥與健康,2.00
1061,L,993077,從生活中探討物理,2.00
1061,L,993087,醫學美容暨健康管理,2.00
1061,L,993095,食品衛生與安全,2.00
1061,L,993106,圖解生命原理,3.00
1061,L,993013,生態旅遊與城鄉自然資源規劃,3.00
1061,L,993036,自然保育概論,2.00
1061,L,993066,淺談化學材料,3.00
1061,L,993086,輻射與環境,2.00
1061,L,993093,癌症預防與治療,2.00
1061,L,993104,地方達人-水沙連生態農業發展,1.00
1061,L,993108,國際保育事務與在地實踐,3.00
1061,M,984002,東南亞概論,2.00
1061,M,994062,東南亞教育名著選讀,2.00
1061,M,994030,東南亞經濟及法律閱讀,3.00
1061,N,993062,全球環境變遷與永續發展,3.00
1061,N,994012,生態保育與綠色地圖,2.00
1061,N,994020,永續能源、資源暨碳管理,3.00
1061,N,994027,綠色工法,3.00
1061,N,994056,環境教育與永續生活,3.00
1061,N,994002,濕地生態保育,3.00
1061,N,994019,友善農業與生活,3.00
1061,N,994024,生態產業與個案分析,3.00
1061,N,994052,地方達人-永續生活設計,1.00
1061,O,994017,鄉村生態旅遊,3.00
1061,O,994051,地方學-文化、生態與產業,3.00
1061,O,994053,地方達人-民宿經營實務,1.00
1061,O,994057,南投產業再設計,3.00
1061,O,994059,仿生學與環境教育,6.00
1061,O,994061,在地實踐自主學習,2.00
1061,O,994018,跨文化溝通在社區,3.00
1061,O,994055,參與式規劃設計,3.00
1061,O,994058,鄉鎮的社會創新,2.00
1061,O,994060,R立方創新實作,6.00
