semester,category,number,name,credit
1081,G,385010,語言學習與科技,3.00
1081,G,460035,文化與創意設計,3.00
1081,G,991024,歌劇欣賞,2.00
1081,G,991040,戲劇與人生,2.00
1081,G,991069,兒童繪本藝術,2.00
1081,G,991120,英文小說入門,2.00
1081,G,991156,數位攝影與商業修圖,3.00
1081,G,991164,從廣告看語言與文化,3.00
1081,G,991167,從電影看世界,3.00
1081,G,991171,文人畫美學與習作-四君子,3.00
1081,G,991175,口語表達：方法與演練,2.00
1081,G,Zd0002,華語文教學導論,2.00
1081,G,460024,設計基礎,3.00
1081,G,991008,音樂欣賞,2.00
1081,G,991032,戲劇欣賞,2.00
1081,G,991065,音樂與生活,2.00
1081,G,991070,藝術概論,3.00
1081,G,991153,地方達人-紙的想像與實踐,1.00
1081,G,991160,語言、文化與溝通,2.00
1081,G,991166,微電影剪輯與製作,3.00
1081,G,991168,浪漫愛：論述與影像,3.00
1081,G,991173,書法-隸書概論與習作,3.00
1081,G,993099,數位音樂學習與創作,2.00
1081,H,385008,中國文化國際詮釋,3.00
1081,H,991068,現代世界的興起,3.00
1081,H,991075,與哲學家對話,3.00
1081,H,991085,文化人類學,3.00
1081,H,991140,西洋哲學史,3.00
1081,H,991154,地方達人-族群文化,1.00
1081,H,991163,世界城市和台灣地方,3.00
1081,H,991174,跨世紀電影賞析與世代對話,3.00
1081,H,991176,日本文化與生活,2.00
1081,H,992073,哲學概論,2.00
1081,H,992087,台灣歷史與文化,2.00
1081,H,991051,文化創意產業概論,2.00
1081,H,991071,中國文化導論,3.00
1081,H,991084,西方電影與文學文化,2.00
1081,H,991101,佛教概說,2.00
1081,H,991144,倫理學的理論與應用,2.00
1081,H,991155,口述歷史與田野調查,3.00
1081,H,991165,文教會展規劃,3.00
1081,H,991177,田野調查與紀錄片製作,3.00
1081,H,992075,埔里開發史,2.00
1081,H,992171,正念減壓與生活藝術,2.00
1081,I,984003,全球議題與國際發展,2.00
1081,I,992007,與領導有約,2.00
1081,I,992078,教育時事漫談,2.00
1081,I,992102,國際文教概論-亞太篇,3.00
1081,I,992114,心理學與人生智慧,3.00
1081,I,992178,情緒覺察與能量平衡,2.00
1081,I,992180,大學生與台灣公民社會,2.00
1081,I,992188,樂在耆中：在地老化社區參與,3.00
1081,I,992200,職業教育與訓練,2.00
1081,I,992071,正向心理學,2.00
1081,I,992100,人群關懷與社會服務,3.00
1081,I,992109,談判理論與實務,2.00
1081,I,992156,政治哲學概論,2.00
1081,I,992179,大學生活與法律,2.00
1081,I,992185,地方達人-生態城鎮,1.00
1081,I,992196,職涯探索與規劃,2.00
1081,J,992033,台灣社會問題剖析,2.00
1081,J,992062,從經濟學看世界,2.00
1081,J,992123,企業財務報表的認識與運用,3.00
1081,J,992139,總體經濟焦點,2.00
1081,J,992202,不動產經營管理,3.00
1081,J,992208,解讀行銷,3.00
1081,J,992210,R立方創新實作：地方微型創業提案,3.00
1081,J,992213,數位金融與生活,3.00
1081,J,992035,全球化現象導論,2.00
1081,J,992122,國際企業管理,3.00
1081,J,992129,非營利組織及社區參與,2.00
1081,J,992191,當代城鄉與社會空間,3.00
1081,J,992207,休閒與食文化,3.00
1081,J,992209,鄉村長期照顧與社會創新,3.00
1081,J,992212,體育活動方案設計評估與實作,2.00
1081,J,994041,夢與自我探索,3.00
1081,K,993023,安全與衛生概論,2.00
1081,K,993055,工程倫理,2.00
1081,K,993060,生活安全與防災概論,2.00
1081,K,993064,數學遊戲,3.00
1081,K,993075,尖端科技通俗講座,3.00
1081,K,993092,Excel,人103
1081,K,993107,營造綠色生活,3.00
1081,K,993110,程式設計入門體驗,3.00
1081,K,993111,零基礎程式設計入門,3.00
1081,K,993120,生活藝術與科技,3.00
1081,K,993123,實用家庭電器修護與保養,3.00
1081,K,993052,Python,人103
1081,K,993056,網路安全概論,2.00
1081,K,993063,自然語言密碼與資訊應用,3.00
1081,K,993068,生物與電子訊息之認識,3.00
1081,K,993085,影像處理與設計-Photoshop,2.00
1081,K,993102,氣候變遷調適與社區防災,2.00
1081,K,993116,野趣創客,2.00
1081,K,993121,音樂程式設計,3.00
1081,L,993001,運動與健康,2.00
1081,L,993002,急救醫學,2.00
1081,L,993022,城鄉生態,2.00
1081,L,993066,淺談化學材料,3.00
1081,L,993086,輻射與環境,2.00
1081,L,993093,癌症預防與治療,2.00
1081,L,993106,圖解生命原理,3.00
1081,L,993118,生物醫學導論,3.00
1081,L,993126,地方達人：新農業發展,1.00
1081,L,993128,運動心理學,3.00
1081,L,993130,運動生理學(上),2.00
1081,L,993013,生態旅遊與城鄉自然資源規劃,3.00
1081,L,993036,自然保育概論,2.00
1081,L,993070,生命中的化學,2.00
1081,L,993087,醫學美容暨健康管理,2.00
1081,L,993095,食品衛生與安全,2.00
1081,L,993108,國際保育事務與在地實踐,3.00
1081,L,993125,R立方創新實作：生態博物館,3.00
1081,L,993127,環境設計提案的方法,3.00
1081,L,993129,運動傷害與急救,2.00
1081,L,993131,聯合國永續發展目標,2.00
1081,M,984002,東南亞概論,2.00
1081,M,994062,東南亞教育名著選讀,2.00
1081,M,994030,東南亞經濟及法律閱讀,3.00
1081,N,993062,全球環境變遷與永續發展,3.00
1081,N,994002,濕地生態保育,3.00
1081,N,994012,生態保育與綠色地圖,2.00
1081,N,994020,永續能源、資源暨碳管理,3.00
1081,N,994027,綠色工法,3.00
1081,N,994079,R立方創新實作-台灣生態島嶼的食農教育,3.00
1081,N,994001,攝影的生態關懷,3.00
1081,N,994003,綠色能源,3.00
1081,N,994019,友善農業與生活,3.00
1081,N,994024,生態產業與個案分析,3.00
1081,N,994074,社區環境教育實作,3.00
1081,N,994082,地方達人-變動中的農村,1.00
1081,O,994017,鄉村生態旅遊,3.00
1081,O,994057,南投產業再設計,3.00
1081,O,994071,地方達人-埔里的蝴蝶,1.00
1081,O,994075,鄉鎮創新與永續發展,2.00
1081,O,994077,平埔文化保存與活化,3.00
1081,O,994078,水圳與環境踏查,3.00
1081,O,994081,地方達人：社會照顧非營利組織,1.00
1081,O,994018,跨文化溝通在社區,3.00
1081,O,994068,在地企業的創新營運,2.00
1081,O,994073,地方學：文化與生態,3.00
1081,O,994076,地方達人：初探民宿經營實務,1.00
1081,O,994080,社區調查與方案設計,3.00
